term,tf-idf,document
чтение,0.003,75.txt
биография,0.00299,59.txt
старожил,0.00299,59.txt
фгбу,0.00299,88.txt
федеральный,0.00299,88.txt
астрономия,0.00298,47.txt
консультация,0.00298,100.txt
нестандартный,0.00298,100.txt
увольнение,0.00298,83.txt
увольнение,0.00298,89.txt
увольнение,0.00298,90.txt
аналитик,0.00297,50.txt
программист,0.00297,69.txt
санкт,0.00297,50.txt
копирайт,0.00296,82.txt
инвестор,0.00295,68.txt
инвестор,0.00295,9.txt
рождение,0.00294,50.txt
инфографика,0.00293,98.txt
обл,0.00293,98.txt
аудитория,0.00292,92.txt
рядом,0.0029,91.txt
луна,0.00289,46.txt
луна,0.00289,48.txt
луна,0.00289,49.txt
нейронный,0.00286,22.txt
петербург,0.0028,50.txt
алфавит,0.00279,92.txt
альфабанк,0.00279,92.txt
анонсирование,0.00279,92.txt
верстальщик,0.00279,92.txt
геотаргетинг,0.00279,92.txt
заботливый,0.00279,92.txt
заявкаотправлять,0.00279,92.txt
индивидуально,0.00279,92.txt
медиакит,0.00279,92.txt
медийнаяреклама,0.00279,92.txt
наценка,0.00279,92.txt
охватный,0.00279,92.txt
размещение,0.00279,92.txt
следующиетаргетинг,0.00279,92.txt
таргетинг,0.00279,92.txt
пацак,0.00278,77.txt
пацак,0.00278,80.txt
пацак,0.00278,81.txt
приглашать,0.00274,59.txt
вакансиина,0.00272,4.txt
вакансийвсе,0.00272,4.txt
вакансийконтактыпомощьдля,0.00272,4.txt
вакансийначать,0.00272,4.txt
войтихабр,0.00272,4.txt
ВходВходРегистрацияВакансииСпециалистыКомпанииЗарплатыОбразованиеЖурнал,0.00272,4.txt
дизайнерсбербанк,0.00272,4.txt
индустрииначинать,0.00272,4.txt
карьерао,0.00272,4.txt
клиентывакансия,0.00272,4.txt
компаниикоторое,0.00272,4.txt
лицподробно,0.00272,4.txt
москваот,0.00272,4.txt
москвафронтенд,0.00272,4.txt
неделивакансия,0.00272,4.txt
партнерыслеживать,0.00272,4.txt
поддержкидругой,0.00272,4.txt
проектор,0.00272,32.txt
работодателявакансия,0.00272,4.txt
сейчасзарегистрироватьсяуже,0.00272,4.txt
смарттв,0.00272,4.txt
соцсетяхсейчас,0.00272,4.txt
специалистовлучший,0.00272,4.txt
специалистовмегапост,0.00272,4.txt
телеком,0.00272,4.txt
услугнаши,0.00272,4.txt
фильтр,0.00272,46.txt
фильтр,0.00272,48.txt
фильтр,0.00272,49.txt
ценыжурналкаталог,0.00272,4.txt
ценыпомощьдля,0.00272,4.txt
край,0.00269,45.txt
нло,0.00269,45.txt
нло,0.00269,69.txt
денис,0.00268,59.txt
лазерный,0.00268,28.txt
михаил,0.00268,23.txt
ремонт,0.00268,28.txt
украина,0.00268,28.txt
абонент,0.00265,43.txt
абонент,0.00265,44.txt
лендинг,0.00265,5.txt
портфолио,0.00265,5.txt
наблюдение,0.00263,46.txt
наблюдение,0.00263,48.txt
наблюдение,0.00263,49.txt
типографика,0.00263,98.txt
излучение,0.00262,94.txt
излучение,0.00262,96.txt
излучение,0.00262,97.txt
нло,0.00261,50.txt
орган,0.00261,88.txt
хранение,0.00261,71.txt
викли,0.0026,7.txt
домен,0.0026,91.txt
релевантный,0.0026,91.txt
умолчание,0.0026,91.txt
вещейносимый,0.00259,8.txt
гаджетыинтернет,0.00259,8.txt
множественный,0.00259,8.txt
накопитель,0.00259,71.txt
электроникабудущее,0.00259,8.txt
якобы,0.00259,8.txt
отключать,0.00258,91.txt
веб,0.00256,98.txt
ама,0.00255,43.txt
ама,0.00255,44.txt
сочи,0.00254,88.txt
функционирование,0.00254,88.txt
нло,0.00253,28.txt
умный,0.0025,8.txt
фсб,0.00248,41.txt
фсб,0.00248,42.txt
январь,0.00248,59.txt
мощность,0.00247,94.txt
мощность,0.00247,96.txt
мощность,0.00247,97.txt
экран,0.00247,92.txt
уф,0.00246,94.txt
уф,0.00246,96.txt
уф,0.00246,97.txt
обновление,0.00244,37.txt
обновление,0.00244,38.txt
г,0.00243,45.txt
захабривать,0.00243,45.txt
захабривать,0.00243,69.txt
значок,0.00243,45.txt
значок,0.00243,69.txt
приглашать,0.00243,76.txt
фокусный,0.00243,46.txt
фокусный,0.00243,48.txt
фокусный,0.00243,49.txt
трудиться,0.00241,98.txt
фрилансер,0.00241,98.txt
контакт,0.00239,100.txt
сторонний,0.00239,100.txt
антивирусный,0.00238,76.txt
нынешний,0.00238,76.txt
профессионал,0.00238,5.txt
рефакторинг,0.00238,76.txt
ставка,0.00238,5.txt
буква,0.00237,92.txt
коллективный,0.00237,92.txt
копирайтер,0.00237,92.txt
переулок,0.00237,92.txt
пиарщик,0.00237,92.txt
прайс,0.00237,92.txt
простой,0.00237,3.txt
секция,0.00237,92.txt
спартаковский,0.00237,92.txt
стр,0.00237,92.txt
творчество,0.00237,92.txt
г,0.00236,50.txt
захабривать,0.00236,50.txt
значок,0.00236,50.txt
рф,0.00235,83.txt
рф,0.00235,89.txt
рф,0.00235,90.txt
г,0.00234,88.txt
антон,0.00233,23.txt
искренне,0.00233,91.txt
мморпг,0.00233,10.txt
собственность,0.00233,82.txt
ультрафиолет,0.00232,94.txt
ультрафиолет,0.00232,96.txt
ультрафиолет,0.00232,97.txt
микросервис,0.00231,53.txt
поддержкидокументысоглашение,0.00231,4.txt
пользователемправило,0.00231,4.txt
рубрика,0.00231,4.txt
редакция,0.0023,88.txt
среди,0.0023,92.txt
захабривать,0.00229,28.txt
значок,0.00229,28.txt
копирайт,0.00227,86.txt
лазерный,0.00227,32.txt
диапазон,0.00221,43.txt
диапазон,0.00221,44.txt
математический,0.00221,76.txt
указ,0.00221,88.txt
ашманов,0.0022,39.txt
ашманов,0.0022,40.txt
ваня,0.0022,8.txt
главред,0.0022,8.txt
детально,0.0022,8.txt
звягин,0.0022,8.txt
вселенная,0.00219,47.txt
линковка,0.00219,56.txt
московский,0.00219,82.txt
главный,0.00218,45.txt
диск,0.00218,73.txt
маска,0.00218,94.txt
маска,0.00218,96.txt
маска,0.00218,97.txt
профилактика,0.00218,43.txt
профилактика,0.00218,44.txt
процессор,0.00218,72.txt
специализироваться,0.00218,76.txt
веб,0.00217,24.txt
организация,0.00216,88.txt
рф,0.00216,41.txt
рф,0.00216,42.txt
аккуратный,0.00214,91.txt
браузерный,0.00214,91.txt
выключение,0.00214,91.txt
звук,0.00214,59.txt
блок,0.00212,73.txt
звено,0.00212,92.txt
конструктивный,0.00212,92.txt
тестировщик,0.00212,92.txt
водитель,0.00211,60.txt
водитель,0.00211,64.txt
водитель,0.00211,65.txt
мм,0.00211,46.txt
мм,0.00211,48.txt
мм,0.00211,49.txt
московский,0.00211,98.txt
изучение,0.0021,28.txt
спутник,0.00209,41.txt
спутник,0.00209,42.txt
нло,0.00207,82.txt
разрядный,0.00207,29.txt
разрядный,0.00207,33.txt
разрядный,0.00207,34.txt
рассылка,0.00207,4.txt
реактивный,0.00207,53.txt
ст,0.00207,83.txt
ст,0.00207,89.txt
ст,0.00207,90.txt
тестировщик,0.00207,4.txt
транслироваться,0.00207,4.txt
трудовой,0.00207,83.txt
трудовой,0.00207,89.txt
трудовой,0.00207,90.txt
хабрахабр,0.00207,4.txt
виртуальный,0.00206,73.txt
май,0.00206,69.txt
руб,0.00205,3.txt
инфраструктура,0.00204,24.txt
марганец,0.00204,29.txt
марганец,0.00204,33.txt
марганец,0.00204,34.txt
основатель,0.00204,68.txt
основатель,0.00204,9.txt
сертификат,0.00204,39.txt
сертификат,0.00204,40.txt
урок,0.00204,12.txt
компилятор,0.00203,76.txt
нло,0.00203,59.txt
рождение,0.00203,76.txt
удовольствие,0.00202,28.txt
сентябрь,0.002,50.txt
хостинг,0.002,93.txt
брендирование,0.00199,100.txt
брендировать,0.00199,100.txt
властьэкономикать,0.00199,88.txt
гущевысококонцентрированный,0.00199,100.txt
заказчик,0.00199,5.txt
игрок,0.00199,78.txt
история,0.00199,66.txt
кость,0.00199,15.txt
ндс,0.00199,100.txt
неотложный,0.00199,88.txt
нерезидент,0.00199,100.txt
подписчик,0.00199,45.txt
подписчик,0.00199,69.txt
приглашение,0.00199,45.txt
приглашение,0.00199,69.txt
профиль,0.00199,45.txt
профиль,0.00199,69.txt
регионахва,0.00199,88.txt
санитарный,0.00199,88.txt
синтезатор,0.00199,61.txt
синтезатор,0.00199,99.txt
ситистиль,0.00199,88.txt
служащий,0.00199,88.txt
фотоотчет,0.00199,100.txt
численный,0.00199,79.txt
александр,0.00198,23.txt
жанр,0.00198,10.txt
интеллектуальный,0.00197,82.txt
корректный,0.00197,8.txt
мтс,0.00197,8.txt
накопитель,0.00197,72.txt
размещение,0.00196,100.txt
объектив,0.00195,46.txt
объектив,0.00195,48.txt
объектив,0.00195,49.txt
ооо,0.00195,92.txt
радар,0.00195,62.txt
разрабатываться,0.00195,92.txt
сбербанк,0.00195,92.txt
связываться,0.00195,92.txt
х,0.00195,92.txt
файловый,0.00194,3.txt
двухтомник,0.00193,79.txt
еще,0.00193,18.txt
издание,0.00193,79.txt
подписчик,0.00193,50.txt
приглашение,0.00193,50.txt
пробный,0.00193,35.txt
пробный,0.00193,36.txt
промокод,0.00193,67.txt
профиль,0.00193,50.txt
робототехника,0.00193,39.txt
робототехника,0.00193,40.txt
астрономия,0.00192,45.txt
барлоу,0.00192,46.txt
барлоу,0.00192,48.txt
барлоу,0.00192,49.txt
й,0.00192,45.txt
й,0.00192,69.txt
карма,0.00192,45.txt
карма,0.00192,69.txt
путевка,0.00192,39.txt
путевка,0.00192,40.txt
автомобильный,0.00191,62.txt
задачка,0.00191,76.txt
занимательный,0.00191,76.txt
спортивный,0.00191,76.txt
ф,0.00191,76.txt
декабрь,0.0019,76.txt
месячный,0.0019,4.txt
оказание,0.0019,4.txt
увеличение,0.0019,46.txt
увеличение,0.0019,48.txt
увеличение,0.0019,49.txt
управление,0.0019,93.txt
осознавать,0.00189,98.txt
студия,0.00189,98.txt
захабривать,0.00188,82.txt
значок,0.00188,82.txt
юрист,0.00188,82.txt
блокировать,0.00187,91.txt
клика,0.00187,91.txt
подписчик,0.00187,28.txt
приглашение,0.00187,28.txt
профиль,0.00187,28.txt
вызывать,0.00186,91.txt
й,0.00186,50.txt
карма,0.00186,50.txt
планета,0.00186,47.txt
активность,0.00185,45.txt
активность,0.00185,69.txt
закладка,0.00185,45.txt
закладка,0.00185,69.txt
захабривать,0.00184,59.txt
значок,0.00184,59.txt
инвестиция,0.00184,68.txt
инвестиция,0.00184,9.txt
снг,0.00184,59.txt
дизайнер,0.00182,92.txt
звонить,0.00182,92.txt
навигатор,0.00182,60.txt
навигатор,0.00182,64.txt
навигатор,0.00182,65.txt
регулярно,0.00182,92.txt
суммарный,0.00182,92.txt
заканчивать,0.00181,98.txt
захабривать,0.00181,98.txt
значок,0.00181,98.txt
ита,0.00181,24.txt
итэлма,0.00181,62.txt
й,0.00181,28.txt
карма,0.00181,28.txt
нпп,0.00181,62.txt
помешать,0.00181,8.txt
активность,0.0018,50.txt
блог,0.0018,100.txt
диск,0.0018,70.txt
диск,0.0018,74.txt
диск,0.0018,75.txt
закладка,0.0018,50.txt
нло,0.0018,76.txt
рейтинг,0.0018,45.txt
рейтинг,0.0018,69.txt
стандартный,0.0018,100.txt
функциональный,0.0018,76.txt
аккредитовать,0.00179,6.txt
гаджет,0.00179,62.txt
накопитель,0.00179,70.txt
накопитель,0.00179,74.txt
накопитель,0.00179,75.txt
написать,0.00179,6.txt
никола,0.00179,56.txt
приглашать,0.00179,45.txt
приглашать,0.00179,69.txt
размер,0.00179,73.txt
справочный,0.00179,6.txt
шник,0.00179,56.txt
биотехнология,0.00178,95.txt
бэкенд,0.00177,4.txt
дизайнер,0.00177,4.txt
заинтересованный,0.00177,4.txt
полезность,0.00177,51.txt
полезность,0.00177,57.txt
полезность,0.00177,58.txt
регулярно,0.00177,4.txt
роскосмос,0.00177,41.txt
роскосмос,0.00177,42.txt
суммарный,0.00177,4.txt
тачскрин,0.00177,60.txt
тачскрин,0.00177,64.txt
тачскрин,0.00177,65.txt
юпитер,0.00177,46.txt
юпитер,0.00177,48.txt
юпитер,0.00177,49.txt
исключать,0.00176,91.txt
машинный,0.00176,22.txt
слерм,0.00176,14.txt
дисковый,0.00175,73.txt
интенсивность,0.00175,94.txt
интенсивность,0.00175,96.txt
интенсивность,0.00175,97.txt
рейтинг,0.00175,50.txt
активность,0.00174,28.txt
железо,0.00174,72.txt
закладка,0.00174,28.txt
информационный,0.00174,24.txt
обучать,0.00174,100.txt
приглашать,0.00174,50.txt
физика,0.00174,30.txt
голография,0.00173,32.txt
дмитрий,0.00173,23.txt
другой,0.00173,18.txt
иван,0.00173,23.txt
индустрия,0.00173,92.txt
кинопоиск,0.00173,67.txt
март,0.00173,10.txt
синтез,0.00173,61.txt
синтез,0.00173,99.txt
дефрагментация,0.00172,70.txt
дефрагментация,0.00172,74.txt
дефрагментация,0.00172,75.txt
уже,0.00172,19.txt
ооп,0.00171,76.txt
параллельный,0.00171,76.txt
планшет,0.00171,76.txt
стратегия,0.00171,78.txt
контакт,0.0017,92.txt
рейтинг,0.0017,28.txt
АЭ,0.00169,29.txt
АЭ,0.00169,33.txt
АЭ,0.00169,34.txt
вебинар,0.00169,100.txt
детальный,0.00169,100.txt
заводить,0.00169,100.txt
локализация,0.00169,100.txt
переулок,0.00169,100.txt
периферия,0.00169,59.txt
подписывать,0.00169,59.txt
поле,0.00169,56.txt
прайс,0.00169,100.txt
приглашать,0.00169,28.txt
секция,0.00169,100.txt
спартаковский,0.00169,100.txt
стр,0.00169,100.txt
экономика,0.00169,41.txt
экономика,0.00169,42.txt
зарегистрировать,0.00168,45.txt
зарегистрировать,0.00168,69.txt
ключ,0.00168,5.txt
студент,0.00168,67.txt
урбанизм,0.00167,55.txt
доверять,0.00166,4.txt
заказ,0.00166,5.txt
сысоев,0.00166,27.txt
текстура,0.00166,15.txt
экстент,0.00166,73.txt
выбор,0.00165,8.txt
г,0.00165,76.txt
договор,0.00165,83.txt
договор,0.00165,89.txt
договор,0.00165,90.txt
отвлекаться,0.00165,60.txt
отвлекаться,0.00165,64.txt
отвлекаться,0.00165,65.txt
государственный,0.00164,88.txt
продукт,0.00164,82.txt
работник,0.00164,88.txt
раз,0.00164,19.txt
автомобиль,0.00163,62.txt
зарегистрировать,0.00163,50.txt
захабривать,0.00163,76.txt
значок,0.00163,76.txt
зрачок,0.00163,46.txt
зрачок,0.00163,48.txt
зрачок,0.00163,49.txt
криптография,0.00163,76.txt
линейка,0.00163,10.txt
н,0.00163,76.txt
персонал,0.00163,85.txt
симуляция,0.00163,51.txt
симуляция,0.00163,57.txt
симуляция,0.00163,58.txt
игорь,0.00162,27.txt
рассеяние,0.00162,46.txt
рассеяние,0.00162,48.txt
рассеяние,0.00162,49.txt
сетевой,0.00162,93.txt
богатый,0.00161,92.txt
рф,0.00161,100.txt
станция,0.00161,47.txt
удобно,0.00161,92.txt
внеплановый,0.0016,43.txt
внеплановый,0.0016,44.txt
вносить,0.0016,91.txt
графика,0.0016,93.txt
нечеткий,0.00159,78.txt
облачный,0.00159,98.txt
обращаться,0.00159,92.txt
СХД,0.00159,71.txt
выбирать,0.00158,100.txt
зарегистрировать,0.00158,28.txt
ознакомляться,0.00158,39.txt
ознакомляться,0.00158,40.txt
последовательный,0.00158,70.txt
последовательный,0.00158,74.txt
последовательный,0.00158,75.txt
разряд,0.00158,29.txt
разряд,0.00158,33.txt
разряд,0.00158,34.txt
состоять,0.00158,28.txt
экспресс,0.00158,43.txt
экспресс,0.00158,44.txt
анонсировать,0.00157,37.txt
анонсировать,0.00157,38.txt
гибкий,0.00157,4.txt
ежедневный,0.00157,4.txt
поверхность,0.00157,94.txt
поверхность,0.00157,96.txt
поверхность,0.00157,97.txt
репортаж,0.00157,66.txt
медиа,0.00156,59.txt
оплачивать,0.00156,5.txt
доступный,0.00155,100.txt
сильно,0.00155,8.txt
транспортный,0.00155,51.txt
транспортный,0.00155,57.txt
транспортный,0.00155,58.txt
анимация,0.00154,15.txt
обучение,0.00154,22.txt
чтение,0.00154,61.txt
чтение,0.00154,99.txt
аврал,0.00153,5.txt
администрированиесервер,0.00153,5.txt
бдо,0.00153,10.txt
безопасностивый,0.00153,5.txt
важногоразработчик,0.00153,5.txt
гриндилка,0.00153,10.txt
делегировать,0.00153,5.txt
десятилетний,0.00153,5.txt
дизайнсайт,0.00153,5.txt
дрочильня,0.00153,10.txt
заботиться,0.00153,5.txt
задачучий,0.00153,5.txt
заказбесплатно,0.00153,5.txt
заказовполучать,0.00153,5.txt
заказовуспешно,0.00153,5.txt
ЗаказыСпециалистыУслугиПроектыКлубВходРегистрацияОтдайте,0.00153,5.txt
зарегистрироваться,0.00153,67.txt
зарегистрироватьсязарегистрироватьсяхабр,0.00153,5.txt
исполнителяпоговорить,0.00153,5.txt
контенткопирайтинг,0.00153,5.txt
корейский,0.00153,10.txt
месяцмы,0.00153,5.txt
некачественный,0.00153,5.txt
нуб,0.00153,10.txt
откликовва,0.00153,5.txt
поверхность,0.00153,46.txt
поверхность,0.00153,48.txt
поверхность,0.00153,49.txt
подписчик,0.00153,82.txt
предоплата,0.00153,5.txt
приглашение,0.00153,82.txt
прикол,0.00153,10.txt
профиль,0.00153,82.txt
работодателяслужба,0.00153,5.txt
разовый,0.00153,5.txt
растить,0.00153,5.txt
результатпринимать,0.00153,5.txt
рерайтинг,0.00153,5.txt
сделкекакий,0.00153,5.txt
сессионка,0.00153,10.txt
скучноватый,0.00153,10.txt
специалистакатегорииразработкасайт,0.00153,5.txt
специалистанаходить,0.00153,5.txt
специалистовзаказыспециалистыуслугипроектыклубдругой,0.00153,5.txt
специалистовответ,0.00153,5.txt
твой,0.00153,91.txt
территориальный,0.00153,5.txt
тестированиесайт,0.00153,5.txt
фармит,0.00153,10.txt
фогейм,0.00153,10.txt
фрилансерадль,0.00153,5.txt
фрилансеровнаш,0.00153,5.txt
фрилансо,0.00153,5.txt
хай,0.00153,10.txt
ценыконтактыпомощьдля,0.00153,5.txt
эффективнеем,0.00153,5.txt
анонс,0.00152,100.txt
аргон,0.00152,29.txt
аргон,0.00152,33.txt
аргон,0.00152,34.txt
вебинара,0.00152,100.txt
лодочка,0.00152,29.txt
лодочка,0.00152,33.txt
лодочка,0.00152,34.txt
пиксел,0.00152,100.txt
продвигать,0.00152,100.txt
произвольный,0.00152,100.txt
резидент,0.00152,100.txt
ретроспектива,0.00152,6.txt
файл,0.00152,70.txt
файл,0.00152,74.txt
файл,0.00152,75.txt
фриланс,0.00152,5.txt
визуализация,0.00151,22.txt
делиться,0.00151,100.txt
мозг,0.00151,22.txt
спутник,0.00151,43.txt
спутник,0.00151,44.txt
подписчик,0.0015,59.txt
пользование,0.0015,8.txt
приглашение,0.0015,59.txt
проект,0.0015,92.txt
проектирование,0.0015,76.txt
проникать,0.0015,8.txt
профиль,0.0015,59.txt
уникальный,0.0015,66.txt
игровой,0.00149,22.txt
локальный,0.00149,3.txt
моделирование,0.00149,79.txt
резюме,0.00149,4.txt
условие,0.00149,19.txt
й,0.00148,82.txt
карма,0.00148,82.txt
откуда,0.00148,45.txt
откуда,0.00148,69.txt
тестирование,0.00148,93.txt
хранение,0.00148,69.txt
выходной,0.00147,61.txt
выходной,0.00147,99.txt
искренне,0.00147,39.txt
искренне,0.00147,40.txt
контрастность,0.00147,46.txt
контрастность,0.00147,48.txt
контрастность,0.00147,49.txt
наука,0.00147,98.txt
ориентированный,0.00147,22.txt
подписчик,0.00147,98.txt
поисковый,0.00147,98.txt
приглашение,0.00147,98.txt
программировать,0.00147,79.txt
профиль,0.00147,98.txt
процентик,0.00147,41.txt
процентик,0.00147,42.txt
рейс,0.00147,54.txt
автомобиль,0.00146,54.txt
альпина,0.00146,67.txt
берлин,0.00146,84.txt
беседа,0.00146,3.txt
блокировка,0.00146,91.txt
бунин,0.00146,24.txt
Вк,0.00146,3.txt
извлечать,0.00146,3.txt
интеллект,0.00146,22.txt
квалифицированный,0.00146,3.txt
матрица,0.00146,12.txt
мирова,0.00146,24.txt
многопрофильный,0.00146,24.txt
мышка,0.00146,3.txt
опера,0.00146,67.txt
переключатель,0.00146,3.txt
переменная,0.00146,3.txt
польза,0.00146,6.txt
смертность,0.00146,95.txt
сочувствовать,0.00146,24.txt
спасать,0.00146,24.txt
таксонамия,0.00146,3.txt
темный,0.00146,47.txt
тесло,0.00146,56.txt
техносерв,0.00146,24.txt
уход,0.00146,3.txt
юзабилити,0.00146,24.txt
ЯП,0.00146,3.txt
й,0.00145,59.txt
карма,0.00145,59.txt
итэлма,0.00144,54.txt
нпп,0.00144,54.txt
откуда,0.00144,50.txt
пары,0.00144,29.txt
пары,0.00144,33.txt
пары,0.00144,34.txt
совершенный,0.00144,76.txt
активность,0.00143,82.txt
доступ,0.00143,67.txt
закладка,0.00143,82.txt
стартап,0.00143,82.txt
файловый,0.00143,73.txt
алексей,0.00142,23.txt
аудитория,0.00142,4.txt
еще,0.00142,19.txt
й,0.00142,98.txt
карма,0.00142,98.txt
оболочка,0.00142,93.txt
тесто,0.00142,10.txt
трубка,0.00142,29.txt
трубка,0.00142,33.txt
трубка,0.00142,34.txt
гик,0.00141,59.txt
млечный,0.00141,47.txt
настраивать,0.00141,91.txt
облачный,0.00141,21.txt
активность,0.0014,59.txt
гаджет,0.0014,61.txt
гаджет,0.0014,99.txt
дата,0.0014,45.txt
декабрь,0.0014,69.txt
закладка,0.0014,59.txt
лист,0.0014,92.txt
мозг,0.0014,59.txt
олег,0.0014,24.txt
откуда,0.0014,28.txt
приложение,0.0014,35.txt
приложение,0.0014,36.txt
скидка,0.0014,14.txt
средний,0.0014,3.txt
стартап,0.0014,59.txt
урбанизм,0.0014,50.txt
фрактальный,0.0014,55.txt
захотеться,0.00139,100.txt
звуковой,0.00139,61.txt
звуковой,0.00139,99.txt
итого,0.00139,100.txt
ооо,0.00139,100.txt
откладывать,0.00139,100.txt
подходящий,0.00139,100.txt
рейтинг,0.00139,82.txt
болеть,0.00138,77.txt
болеть,0.00138,80.txt
болеть,0.00138,81.txt
веб,0.00138,92.txt
головка,0.00138,29.txt
головка,0.00138,33.txt
головка,0.00138,34.txt
закрывать,0.00138,3.txt
история,0.00138,61.txt
история,0.00138,99.txt
приглашать,0.00138,82.txt
рейтинг,0.00138,59.txt
транспорт,0.00138,54.txt
активность,0.00137,98.txt
генерация,0.00137,29.txt
генерация,0.00137,33.txt
генерация,0.00137,34.txt
закладка,0.00137,98.txt
наблюдение,0.00137,47.txt
обобщать,0.00137,6.txt
солнечный,0.00137,47.txt
стерилизация,0.00137,94.txt
стерилизация,0.00137,96.txt
стерилизация,0.00137,97.txt
туториал,0.00137,6.txt
электродный,0.00137,29.txt
электродный,0.00137,33.txt
электродный,0.00137,34.txt
дата,0.00136,50.txt
задача,0.00136,5.txt
мечта,0.00136,4.txt
размещение,0.00136,4.txt
физика,0.00136,79.txt
гик,0.00135,63.txt
денискин,0.00135,39.txt
денискин,0.00135,40.txt
дневный,0.00135,35.txt
дневный,0.00135,36.txt
кеш,0.00135,73.txt
математика,0.00135,78.txt
пропускать,0.00135,8.txt
расширение,0.00135,91.txt
серверный,0.00135,93.txt
диаметр,0.00134,46.txt
диаметр,0.00134,48.txt
диаметр,0.00134,49.txt
житель,0.00134,51.txt
житель,0.00134,57.txt
житель,0.00134,58.txt
итерация,0.00134,51.txt
итерация,0.00134,57.txt
итерация,0.00134,58.txt
