term,tf-idf,document
денис,0.0033894563,59.txt
вакансиина,0.0033883686,4.txt
вакансийвсе,0.0033883686,4.txt
вакансийконтактыпомощьдля,0.0033883686,4.txt
вакансийначать,0.0033883686,4.txt
войтихабр,0.0033883686,4.txt
ВходВходРегистрацияВакансииСпециалистыКомпанииЗарплатыОбразованиеЖурнал,0.0033883686,4.txt
дизайнерсбербанк,0.0033883686,4.txt
индустрииначинать,0.0033883686,4.txt
карьерао,0.0033883686,4.txt
клиентывакансия,0.0033883686,4.txt
компаниикоторое,0.0033883686,4.txt
лицподробно,0.0033883686,4.txt
москваот,0.0033883686,4.txt
москвафронтенд,0.0033883686,4.txt
неделивакансия,0.0033883686,4.txt
партнерыслеживать,0.0033883686,4.txt
поддержкидругой,0.0033883686,4.txt
работодателявакансия,0.0033883686,4.txt
сейчасзарегистрироватьсяуже,0.0033883686,4.txt
смарттв,0.0033883686,4.txt
соцсетяхсейчас,0.0033883686,4.txt
специалистовлучший,0.0033883686,4.txt
специалистовмегапост,0.0033883686,4.txt
телеком,0.0033883686,4.txt
услугнаши,0.0033883686,4.txt
ценыжурналкаталог,0.0033883686,4.txt
ценыпомощьдля,0.0033883686,4.txt
абонент,0.003386316,43.txt
абонент,0.003386316,44.txt
излучение,0.0033841408,94.txt
излучение,0.0033841408,96.txt
излучение,0.0033841408,97.txt
край,0.00337612,45.txt
нло,0.00337612,45.txt
нло,0.00337612,69.txt
лазерный,0.0033688787,28.txt
ремонт,0.0033688787,28.txt
украина,0.0033688787,28.txt
накопитель,0.0033523512,71.txt
хранение,0.0033500582,71.txt
типографика,0.0033388674,98.txt
викли,0.0033298774,7.txt
лендинг,0.0033298774,5.txt
портфолио,0.0033298774,5.txt
вещейносимый,0.00332193,8.txt
гаджетыинтернет,0.00332193,8.txt
множественный,0.00332193,8.txt
электроникабудущее,0.00332193,8.txt
якобы,0.00332193,8.txt
отключать,0.003318705,91.txt
ама,0.0033117337,43.txt
ама,0.0033117337,44.txt
нло,0.00329939,50.txt
домен,0.0032734388,91.txt
релевантный,0.0032734388,91.txt
умолчание,0.0032734388,91.txt
веб,0.0032548428,98.txt
орган,0.0032307549,88.txt
фсб,0.0032170002,41.txt
фсб,0.0032170002,42.txt
умный,0.00320904,8.txt
мощность,0.0031960156,94.txt
мощность,0.0031960156,96.txt
мощность,0.0031960156,97.txt
нло,0.003184295,28.txt
экран,0.0031788936,92.txt
сочи,0.0031605616,88.txt
функционирование,0.0031605616,88.txt
уф,0.0031578248,94.txt
уф,0.0031578248,96.txt
уф,0.0031578248,97.txt
обновление,0.003148515,37.txt
обновление,0.003148515,38.txt
фокусный,0.0031365118,46.txt
фокусный,0.0031365118,48.txt
фокусный,0.0031365118,49.txt
январь,0.0031346055,59.txt
контакт,0.0030847564,100.txt
сторонний,0.0030847564,100.txt
простой,0.0030825904,3.txt
г,0.0030744369,45.txt
трудиться,0.0030649476,98.txt
фрилансер,0.0030649476,98.txt
захабривать,0.0030570584,45.txt
захабривать,0.0030570584,69.txt
значок,0.0030570584,45.txt
значок,0.0030570584,69.txt
мморпг,0.0030561756,10.txt
буква,0.0030476844,92.txt
коллективный,0.0030476844,92.txt
копирайтер,0.0030476844,92.txt
переулок,0.0030476844,92.txt
пиарщик,0.0030476844,92.txt
прайс,0.0030476844,92.txt
секция,0.0030476844,92.txt
спартаковский,0.0030476844,92.txt
стр,0.0030476844,92.txt
творчество,0.0030476844,92.txt
приглашать,0.0030421041,76.txt
рф,0.003010667,83.txt
рф,0.003010667,89.txt
рф,0.003010667,90.txt
антон,0.002989737,23.txt
г,0.0029875884,50.txt
захабривать,0.0029875798,50.txt
значок,0.0029875798,50.txt
антивирусный,0.0029847451,76.txt
нынешний,0.0029847451,76.txt
профессионал,0.0029847451,5.txt
рефакторинг,0.0029847451,76.txt
ставка,0.0029847451,5.txt
ультрафиолет,0.0029720704,94.txt
ультрафиолет,0.0029720704,96.txt
ультрафиолет,0.0029720704,97.txt
среди,0.0029559276,92.txt
собственность,0.0029389124,82.txt
микросервис,0.0029348072,53.txt
искренне,0.0029341562,91.txt
лазерный,0.0029224008,32.txt
г,0.0029181096,88.txt
копирайт,0.0029011882,86.txt
захабривать,0.0028833619,28.txt
значок,0.0028833619,28.txt
поддержкидокументысоглашение,0.0028783686,4.txt
пользователемправило,0.0028783686,4.txt
рубрика,0.0028783686,4.txt
редакция,0.002877375,88.txt
диск,0.0028511567,73.txt
рф,0.0028464488,41.txt
рф,0.0028464488,42.txt
диапазон,0.0028256832,43.txt
диапазон,0.0028256832,44.txt
ашманов,0.00282193,39.txt
ашманов,0.00282193,40.txt
ваня,0.00282193,8.txt
главред,0.00282193,8.txt
детально,0.00282193,8.txt
звягин,0.00282193,8.txt
вселенная,0.0028138833,47.txt
маска,0.002811424,94.txt
маска,0.002811424,96.txt
маска,0.002811424,97.txt
процессор,0.002808135,72.txt
линковка,0.0027904212,56.txt
профилактика,0.002786316,43.txt
профилактика,0.002786316,44.txt
блок,0.0027742134,73.txt
математический,0.0027630967,76.txt
московский,0.0027600452,82.txt
главный,0.0027548103,45.txt
специализироваться,0.0027398774,76.txt
спутник,0.0027398774,41.txt
спутник,0.0027398774,42.txt
указ,0.0027373806,88.txt
водитель,0.00273697,60.txt
водитель,0.00273697,64.txt
водитель,0.00273697,65.txt
звено,0.0027318006,92.txt
конструктивный,0.0027318006,92.txt
тестировщик,0.0027318006,92.txt
веб,0.0027288076,24.txt
мм,0.0027096003,46.txt
мм,0.0027096003,48.txt
мм,0.0027096003,49.txt
звук,0.0027,59.txt
аккуратный,0.0026934388,91.txt
браузерный,0.0026934388,91.txt
выключение,0.0026934388,91.txt
руб,0.0026918232,3.txt
виртуальный,0.0026907633,73.txt
московский,0.0026788674,98.txt
организация,0.002676557,88.txt
ст,0.002647185,83.txt
ст,0.002647185,89.txt
ст,0.002647185,90.txt
трудовой,0.002647185,83.txt
трудовой,0.002647185,89.txt
трудовой,0.002647185,90.txt
сертификат,0.0026470002,39.txt
сертификат,0.0026470002,40.txt
урок,0.0026470002,12.txt
изучение,0.0026430686,28.txt
марганец,0.0026430686,29.txt
марганец,0.0026430686,33.txt
марганец,0.0026430686,34.txt
основатель,0.0026430686,68.txt
основатель,0.0026430686,9.txt
разрядный,0.0026306228,29.txt
разрядный,0.0026306228,33.txt
разрядный,0.0026306228,34.txt
реактивный,0.0026306228,53.txt
нло,0.00260882,82.txt
жанр,0.0025961756,10.txt
май,0.0025902096,69.txt
рассылка,0.0025800339,4.txt
тестировщик,0.0025800339,4.txt
транслироваться,0.0025800339,4.txt
хабрахабр,0.0025800339,4.txt
инфраструктура,0.0025773423,24.txt
игрок,0.002570455,78.txt
нло,0.002570455,59.txt
история,0.00255744,66.txt
численный,0.0025571007,79.txt
компилятор,0.0025499387,76.txt
рождение,0.0025499387,76.txt
александр,0.002539737,23.txt
удовольствие,0.0025388787,28.txt
сентябрь,0.0025313412,50.txt
корректный,0.002529445,8.txt
мтс,0.002529445,8.txt
брендирование,0.0025246668,100.txt
брендировать,0.0025246668,100.txt
гущевысококонцентрированный,0.0025246668,100.txt
двухтомник,0.0025246668,79.txt
издание,0.0025246668,79.txt
кость,0.0025246668,15.txt
ндс,0.0025246668,100.txt
нерезидент,0.0025246668,100.txt
промокод,0.0025246668,67.txt
размещение,0.0025246668,100.txt
фотоотчет,0.0025246668,100.txt
накопитель,0.0025142634,72.txt
объектив,0.0025076844,46.txt
объектив,0.0025076844,48.txt
объектив,0.0025076844,49.txt
ооо,0.0025076844,92.txt
радар,0.0025076844,62.txt
разрабатываться,0.0025076844,92.txt
сбербанк,0.0025076844,92.txt
связываться,0.0025076844,92.txt
х,0.0025076844,92.txt
синтезатор,0.0025067194,61.txt
синтезатор,0.0025067194,99.txt
файловый,0.0025067194,3.txt
заказчик,0.00249612,5.txt
подписчик,0.00249612,45.txt
подписчик,0.00249612,69.txt
приглашение,0.00249612,45.txt
приглашение,0.00249612,69.txt
профиль,0.00249612,45.txt
профиль,0.00249612,69.txt
робототехника,0.0024844651,39.txt
робототехника,0.0024844651,40.txt
путевка,0.0024832984,39.txt
путевка,0.0024832984,40.txt
барлоу,0.0024788561,46.txt
барлоу,0.0024788561,48.txt
барлоу,0.0024788561,49.txt
интеллектуальный,0.0024778248,82.txt
хостинг,0.0024778248,93.txt
еще,0.002473305,18.txt
увеличение,0.002467755,46.txt
увеличение,0.002467755,48.txt
увеличение,0.002467755,49.txt
властьэкономикать,0.0024582282,88.txt
неотложный,0.0024582282,88.txt
регионахва,0.0024582282,88.txt
санитарный,0.0024582282,88.txt
ситистиль,0.0024582282,88.txt
служащий,0.0024582282,88.txt
автомобильный,0.002452824,62.txt
пробный,0.0024413862,35.txt
пробный,0.0024413862,36.txt
подписчик,0.00243939,50.txt
приглашение,0.00243939,50.txt
профиль,0.00243939,50.txt
астрономия,0.0024085336,45.txt
й,0.0024085336,45.txt
й,0.0024085336,69.txt
карма,0.0024085336,45.txt
карма,0.0024085336,69.txt
осознавать,0.0024049476,98.txt
студия,0.0024049476,98.txt
инвестиция,0.0023970117,68.txt
инвестиция,0.0023970117,9.txt
задачка,0.0023947451,76.txt
занимательный,0.0023947451,76.txt
спортивный,0.0023947451,76.txt
ф,0.0023947451,76.txt
декабрь,0.00238,76.txt
вызывать,0.0023772875,91.txt
навигатор,0.0023770615,60.txt
навигатор,0.0023770615,64.txt
навигатор,0.0023770615,65.txt
месячный,0.0023683686,4.txt
оказание,0.0023683686,4.txt
планета,0.0023683686,47.txt
захабривать,0.0023622724,82.txt
значок,0.0023622724,82.txt
юрист,0.0023622724,82.txt
подписчик,0.002354295,28.txt
приглашение,0.002354295,28.txt
профиль,0.002354295,28.txt
блокировать,0.0023541562,91.txt
клика,0.0023541562,91.txt
й,0.0023537942,50.txt
карма,0.0023537942,50.txt
размер,0.0023475835,73.txt
управление,0.002346462,93.txt
дизайнер,0.0023338422,92.txt
звонить,0.0023338422,92.txt
регулярно,0.0023338422,92.txt
роскосмос,0.0023338422,41.txt
роскосмос,0.0023338422,42.txt
суммарный,0.0023338422,92.txt
захабривать,0.0023275331,59.txt
значок,0.0023275331,59.txt
снг,0.0023275331,59.txt
активность,0.0023265968,45.txt
активность,0.0023265968,69.txt
закладка,0.0023265968,45.txt
закладка,0.0023265968,69.txt
написать,0.002325879,6.txt
аккредитовать,0.002325351,6.txt
никола,0.002325351,56.txt
справочный,0.002325351,6.txt
шник,0.002325351,56.txt
стандартный,0.0023247564,100.txt
диск,0.0023240521,70.txt
диск,0.0023240521,74.txt
диск,0.0023240521,75.txt
помешать,0.00232193,8.txt
слерм,0.00232193,14.txt
март,0.0023179789,10.txt
дисковый,0.0023139826,73.txt
блог,0.002306664,100.txt
биотехнология,0.0022965708,95.txt
накопитель,0.0022956318,70.txt
накопитель,0.0022956318,74.txt
накопитель,0.0022956318,75.txt
заканчивать,0.0022927938,98.txt
захабривать,0.0022927938,98.txt
значок,0.0022927938,98.txt
гаджет,0.0022856537,62.txt
рейтинг,0.002276751,45.txt
рейтинг,0.002276751,69.txt
тачскрин,0.0022765005,60.txt
тачскрин,0.0022765005,64.txt
тачскрин,0.0022765005,65.txt
итэлма,0.0022754914,62.txt
нпп,0.0022754914,62.txt
активность,0.0022737196,50.txt
закладка,0.0022737196,50.txt
интенсивность,0.0022729784,94.txt
интенсивность,0.0022729784,96.txt
интенсивность,0.0022729784,97.txt
ита,0.0022716851,24.txt
й,0.0022716851,28.txt
карма,0.0022716851,28.txt
юпитер,0.0022635786,46.txt
юпитер,0.0022635786,48.txt
юпитер,0.0022635786,49.txt
нло,0.002263535,76.txt
функциональный,0.002263535,76.txt
голография,0.0022589124,32.txt
дмитрий,0.0022589124,23.txt
иван,0.0022589124,23.txt
приглашать,0.0022496232,45.txt
приглашать,0.0022496232,69.txt
железо,0.0022415636,72.txt
обучать,0.0022369992,100.txt
дефрагментация,0.0022290528,70.txt
дефрагментация,0.0022290528,74.txt
дефрагментация,0.0022290528,75.txt
полезность,0.0022259116,51.txt
полезность,0.0022259116,57.txt
полезность,0.0022259116,58.txt
экономика,0.0022256931,41.txt
экономика,0.0022256931,42.txt
исключать,0.00222517,91.txt
индустрия,0.0022236012,92.txt
другой,0.002221317,18.txt
физика,0.00222,30.txt
рейтинг,0.002212436,50.txt
бэкенд,0.0022041843,4.txt
дизайнер,0.0022041843,4.txt
заинтересованный,0.0022041843,4.txt
регулярно,0.0022041843,4.txt
синтез,0.0022041843,61.txt
синтез,0.0022041843,99.txt
суммарный,0.0022041843,4.txt
стратегия,0.0022024008,78.txt
приглашать,0.0021984954,50.txt
активность,0.0021944038,28.txt
закладка,0.0021944038,28.txt
информационный,0.0021944038,24.txt
кинопоиск,0.0021924738,67.txt
сысоев,0.0021924738,27.txt
текстура,0.0021924738,15.txt
экстент,0.0021924738,73.txt
контакт,0.0021918006,92.txt
машинный,0.0021770584,22.txt
поле,0.0021729315,56.txt
студент,0.0021718119,67.txt
урбанизм,0.0021618345,55.txt
АЭ,0.0021592545,29.txt
АЭ,0.0021592545,33.txt
АЭ,0.0021592545,34.txt
ооп,0.0021498774,76.txt
параллельный,0.0021498774,76.txt
планшет,0.0021498774,76.txt
вебинар,0.0021446668,100.txt
детальный,0.0021446668,100.txt
заводить,0.0021446668,100.txt
локализация,0.0021446668,100.txt
переулок,0.0021446668,100.txt
прайс,0.0021446668,100.txt
секция,0.0021446668,100.txt
спартаковский,0.0021446668,100.txt
стр,0.0021446668,100.txt
линейка,0.0021361756,10.txt
рейтинг,0.002135258,28.txt
периферия,0.0021335614,59.txt
подписывать,0.0021335614,59.txt
отвлекаться,0.002127375,60.txt
отвлекаться,0.002127375,64.txt
отвлекаться,0.002127375,65.txt
игорь,0.0021247338,27.txt
приглашать,0.0021218037,28.txt
выбор,0.00212029,8.txt
персонал,0.0021183278,85.txt
договор,0.002110075,83.txt
договор,0.002110075,89.txt
договор,0.002110075,90.txt
зарегистрировать,0.0021084184,45.txt
зарегистрировать,0.0021084184,69.txt
ключ,0.0021084184,5.txt
уже,0.00210684,19.txt
автомобиль,0.002089737,62.txt
зрачок,0.002089737,46.txt
зрачок,0.002089737,48.txt
зрачок,0.002089737,49.txt
заказ,0.0020845792,5.txt
рф,0.0020800972,100.txt
внеплановый,0.0020745264,43.txt
внеплановый,0.0020745264,44.txt
рассеяние,0.0020741449,46.txt
рассеяние,0.0020741449,48.txt
рассеяние,0.0020741449,49.txt
богатый,0.00207171,92.txt
станция,0.00207171,47.txt
удобно,0.00207171,92.txt
доверять,0.0020700339,4.txt
г,0.0020669943,76.txt
зарегистрировать,0.0020604998,50.txt
бдо,0.0020595966,10.txt
гриндилка,0.0020595966,10.txt
дрочильня,0.0020595966,10.txt
корейский,0.0020595966,10.txt
нечеткий,0.0020595966,78.txt
нуб,0.0020595966,10.txt
прикол,0.0020595966,10.txt
сессионка,0.0020595966,10.txt
скучноватый,0.0020595966,10.txt
СХД,0.0020595966,71.txt
фармит,0.0020595966,10.txt
фогейм,0.0020595966,10.txt
хай,0.0020595966,10.txt
государственный,0.0020527275,88.txt
захабривать,0.0020496187,76.txt
значок,0.0020496187,76.txt
криптография,0.0020496187,76.txt
н,0.0020496187,76.txt
продукт,0.0020446695,82.txt
последовательный,0.0020432984,70.txt
последовательный,0.0020432984,74.txt
последовательный,0.0020432984,75.txt
разряд,0.0020432984,29.txt
разряд,0.0020432984,33.txt
разряд,0.0020432984,34.txt
симуляция,0.0020432984,51.txt
симуляция,0.0020432984,57.txt
симуляция,0.0020432984,58.txt
анонсировать,0.0020405616,37.txt
анонсировать,0.0020405616,38.txt
поверхность,0.0020405616,94.txt
поверхность,0.0020405616,96.txt
поверхность,0.0020405616,97.txt
работник,0.0020405616,88.txt
обращаться,0.0020400876,92.txt
экспресс,0.0020317896,43.txt
экспресс,0.0020317896,44.txt
ознакомляться,0.002029445,39.txt
ознакомляться,0.002029445,40.txt
облачный,0.0020188674,98.txt
выбирать,0.0020172065,100.txt
вносить,0.0020148794,91.txt
раз,0.002012944,19.txt
сетевой,0.0020015256,93.txt
зарегистрироваться,0.00199498,67.txt
анимация,0.0019888561,15.txt
зарегистрировать,0.0019886219,28.txt
состоять,0.0019886219,28.txt
графика,0.0019880878,93.txt
сильно,0.001982895,8.txt
файл,0.0019822884,70.txt
файл,0.0019822884,74.txt
файл,0.0019822884,75.txt
транспортный,0.0019813552,51.txt
транспортный,0.0019813552,57.txt
транспортный,0.0019813552,58.txt
доступный,0.0019801458,100.txt
ретроспектива,0.001975351,6.txt
аргон,0.0019729671,29.txt
аргон,0.0019729671,33.txt
аргон,0.0019729671,34.txt
лодочка,0.0019729671,29.txt
лодочка,0.0019729671,33.txt
лодочка,0.0019729671,34.txt
репортаж,0.0019729671,66.txt
медиа,0.0019720914,59.txt
поверхность,0.0019676844,46.txt
поверхность,0.0019676844,48.txt
поверхность,0.0019676844,49.txt
оплачивать,0.0019599387,5.txt
гибкий,0.001956615,4.txt
ежедневный,0.001956615,4.txt
спутник,0.0019504212,43.txt
спутник,0.0019504212,44.txt
чтение,0.0019466092,61.txt
чтение,0.0019466092,99.txt
моделирование,0.0019441338,79.txt
делиться,0.0019428564,100.txt
подписчик,0.00192882,82.txt
приглашение,0.00192882,82.txt
профиль,0.00192882,82.txt
аврал,0.0019267194,5.txt
администрированиесервер,0.0019267194,5.txt
безопасностивый,0.0019267194,5.txt
берлин,0.0019267194,84.txt
беседа,0.0019267194,3.txt
важногоразработчик,0.0019267194,5.txt
Вк,0.0019267194,3.txt
делегировать,0.0019267194,5.txt
десятилетний,0.0019267194,5.txt
дизайнсайт,0.0019267194,5.txt
заботиться,0.0019267194,5.txt
задачучий,0.0019267194,5.txt
заказбесплатно,0.0019267194,5.txt
заказовполучать,0.0019267194,5.txt
заказовуспешно,0.0019267194,5.txt
ЗаказыСпециалистыУслугиПроектыКлубВходРегистрацияОтдайте,0.0019267194,5.txt
зарегистрироватьсязарегистрироватьсяхабр,0.0019267194,5.txt
извлечать,0.0019267194,3.txt
исполнителяпоговорить,0.0019267194,5.txt
квалифицированный,0.0019267194,3.txt
контенткопирайтинг,0.0019267194,5.txt
локальный,0.0019267194,3.txt
месяцмы,0.0019267194,5.txt
мышка,0.0019267194,3.txt
некачественный,0.0019267194,5.txt
откликовва,0.0019267194,5.txt
переключатель,0.0019267194,3.txt
переменная,0.0019267194,3.txt
предоплата,0.0019267194,5.txt
работодателяслужба,0.0019267194,5.txt
разовый,0.0019267194,5.txt
растить,0.0019267194,5.txt
результатпринимать,0.0019267194,5.txt
рерайтинг,0.0019267194,5.txt
сделкекакий,0.0019267194,5.txt
специалистакатегорииразработкасайт,0.0019267194,5.txt
специалистанаходить,0.0019267194,5.txt
специалистовзаказыспециалистыуслугипроектыклубдругой,0.0019267194,5.txt
специалистовответ,0.0019267194,5.txt
таксонамия,0.0019267194,3.txt
твой,0.0019267194,91.txt
территориальный,0.0019267194,5.txt
тестированиесайт,0.0019267194,5.txt
уход,0.0019267194,3.txt
фрилансерадль,0.0019267194,5.txt
фрилансеровнаш,0.0019267194,5.txt
фрилансо,0.0019267194,5.txt
ценыконтактыпомощьдля,0.0019267194,5.txt
эффективнеем,0.0019267194,5.txt
ЯП,0.0019267194,3.txt
анонс,0.0019223782,100.txt
вебинара,0.0019223782,100.txt
искренне,0.0019223782,39.txt
искренне,0.0019223782,40.txt
пиксел,0.0019223782,100.txt
программировать,0.0019223782,79.txt
продвигать,0.0019223782,100.txt
произвольный,0.0019223782,100.txt
резидент,0.0019223782,100.txt
проект,0.0019202605,92.txt
процентик,0.0019189124,41.txt
процентик,0.0019189124,42.txt
пользование,0.00191825,8.txt
проникать,0.00191825,8.txt
фриланс,0.0019171152,5.txt
уникальный,0.001913223,66.txt
подписчик,0.001900455,59.txt
приглашение,0.001900455,59.txt
профиль,0.001900455,59.txt
польза,0.0018948072,6.txt
матрица,0.0018935001,12.txt
обучение,0.0018930328,22.txt
смертность,0.001879885,95.txt
проектирование,0.0018788078,76.txt
визуализация,0.0018771406,22.txt
мозг,0.0018771406,22.txt
выходной,0.00187323,61.txt
выходной,0.00187323,99.txt
наука,0.00187209,98.txt
подписчик,0.00187209,98.txt
поисковый,0.00187209,98.txt
приглашение,0.00187209,98.txt
профиль,0.00187209,98.txt
контрастность,0.0018717893,46.txt
контрастность,0.0018717893,48.txt
контрастность,0.0018717893,49.txt
тесто,0.0018670894,10.txt
пары,0.0018659229,29.txt
пары,0.0018659229,33.txt
пары,0.0018659229,34.txt
откуда,0.0018658552,45.txt
откуда,0.0018658552,69.txt
хранение,0.0018658552,69.txt
рейс,0.0018624738,54.txt
й,0.0018611396,82.txt
карма,0.0018611396,82.txt
альпина,0.0018602808,67.txt
мирова,0.0018602808,24.txt
многопрофильный,0.0018602808,24.txt
опера,0.0018602808,67.txt
скидка,0.0018602808,14.txt
сочувствовать,0.0018602808,24.txt
тесло,0.0018602808,56.txt
техносерв,0.0018602808,24.txt
юзабилити,0.0018602808,24.txt
файловый,0.0018584299,73.txt
резюме,0.0018583686,4.txt
автомобиль,0.001857544,54.txt
итэлма,0.001857544,54.txt
